"nid","title","inicio","fim"
269,"History, Mathematics and Nationalism in the kingdom of God - An Ethnographic Report on Dapitan, Philippines","2019-12-10 14:00:00","2019-12-10 18:00:00"
268,"NAPEDRA EM PERFORMANCE: CRIAÇÕES 10","2019-11-27 09:30:00","2019-11-29 18:00:00"
267,"O sexo dos robôs no cinema com o Prof. Riccardo Putti","2019-11-21 10:00:00","2019-11-21 14:00:00"
266,"Seminário de Leitura e Pesquisa sobre Antropologia da Percepção e Antropologia Visual","2019-08-26 10:30:00","2019-12-09 18:00:00"
265,"Exibição do filme ""Woya Hayi Mawe - Para onde vais?"" na UNICAMP","2019-11-11 18:00:00","2019-11-11 21:30:00"
264,"Projeção e debate dos filmes ""Nenha"" (de Andre Bahule) e ""Nwajohane"" (de Karen Boswall)","2019-11-14 14:00:00","2019-11-14 17:30:00"
257,"Projeção do filme NIÈDE e debate com o diretor Tiago Tambelli","2019-10-18 14:00:00","2019-10-18 18:00:00"
255,"Diálogos Ameríndios com Mirian Cisneros (Kichwa de Sarayaku Amazônia equatoriana)","2019-10-01 14:00:00","2019-10-01 18:00:00"
252,"Mostra Cinema Guarani no Cinusp","2019-09-09 16:00:00","2019-09-24 21:00:00"
249,"Exibição e debate do filme FILHOS DE MACUNAÍMA de Miguel Antunes Ramos.","2019-09-13 14:30:00","2019-09-13 18:00:00"
247,"Projeção e debate de filmes de colaboradores indígenas e André Lopes no LISA","2019-08-30 14:30:00","2019-08-30 18:00:00"
246,"Confidências das imagens na Antropologia","2019-04-15 19:00:00","2019-06-30 22:00:00"
242,"Seminário de Leitura e Pesquisa sobre Antropologia da Percepção e Antropologia Visual","2019-08-26 10:30:00","2019-08-26 18:00:00"
240,"Diálogos Ameríndios com Odile Joannette (povo Innu) e Odile Eda-Pierre (Wapikoni Mobile, Quebec, CA)","2019-07-02 14:00:00","2019-07-02 18:00:00"
239,"CEstA Intempestiva com Isabel Martinez","2019-06-28 15:00:00",
238,"Filmes e debates na exposição ""Confidências das imagens na antropologia""","2019-06-25 15:00:00",
236,"Exibição do filme Woya hayi mawe: para onde vais?","2019-06-15 20:00:00","2019-06-22 18:00:00"
215,"CEstA Básica com Diego Madi Dias","2019-05-31 14:00:00",
207,"CEstA Tripla com Chirley Pankará, Florbela Ribeiro e Luis Roberto de Paula","2019-05-17 14:00:00","2019-05-17 18:00:00"
206,"Mostra de Filmes Kalapalo","2019-05-10 14:00:00","2019-05-10 18:00:00"
204,"Encontro da Associação Brasileira de Etnomusicologia tematiza o Musicar Local","2019-05-01 09:00:00","2019-05-04 21:00:00"
198,"Palestra Anthropology of memory: The monument to the Soviet Army in Sofia in step with the time","2018-11-14 14:00:00","2018-11-14 17:00:00"
197,"Palestra - Pesquisar, viajar, peregrinar: um relato sobre as paisagens de dentro e de fora na busca por aquilo que resta","2018-12-07 14:00:00","2018-12-07 18:00:00"
196,"NAPEDRA EM PERFORMANCE: CRIAÇÕES IX","2018-11-28 14:00:00","2018-11-30 14:00:00"
195,"Woya Hayi Mawe - para onde vais?","2018-12-10 18:00:00","2018-12-10 21:00:00"
191,"Seminario Internazionae di Antropologia Visiva","2018-10-29 10:30:00","2018-10-31 20:00:00"
188,"RITMOS HUMANOS E MUNDANOS: uma conversa sobre a prática de pensar o mundo como música.","2018-09-17 14:00:00","2018-09-17 18:00:00"
187,"Conversa com Prof. Barbara Copque (UERJ)","2018-09-14 14:00:00","2018-09-14 18:00:00"
184,"KNOT AND HOLES, de Mattijs van de Port (72', 2018)","2018-08-17 14:30:00",
175,"Mesa-redonda: The Routledge Companion to the Study of Local Musicking","2018-06-13 17:30:00","2018-06-13 19:00:00"
174,"NAPEDRA EM PERFORMANCE: CRIAÇÕES VIII","2018-06-06 09:30:00","2018-06-08 18:30:00"
171,"Mostra Cinema e Antropologia","2018-05-07 16:00:00","2018-05-30 19:00:00"
168,"Ver Peixe: técnica e percepção na pesca da tainha","2018-05-08 18:00:00","2018-05-08 20:00:00"
154,"Oficina de Escritura Audiovisual","2018-02-25 00:00:00","2018-03-25 00:00:00"
152,"Transmutating Beings A proposal for an anthropology of thought - Palestra proferida em Espanhol","2018-04-10 14:30:00","2018-04-10 18:00:00"
150,"(Un)Making Maputo: telling migrant artist lives through film","2018-04-05 14:00:00","2018-04-05 18:00:00"
145,"Lançamento do Livro ""Imagens-Ocasiões"", de Georges Didi-Huberman","2018-01-27 15:00:00","2018-01-27 18:00:00"
143,"Exibição do filme ""Wapu - O Açai dos Wayana"" no Filmedoc.bh","2017-11-16 13:15:00","2017-11-16 15:00:00"
142,"Exibição do filme ""Piragui"" no Filmedoc.bh","2017-11-16 13:15:00","2017-11-16 15:00:00"
141,"Defesa de tese de mestrado de Rafael Hupsel","2017-11-24 10:00:00","2017-11-24 13:00:00"
133,"NAPEDRA EM PERFORMANCE: CRIAÇÕES VII","2017-11-09 09:30:00","2017-11-10 18:30:00"
123,"Olhares Cruzados","2016-10-17 08:00:00","2016-10-19 18:00:00"
112,"EIAV 2014","2014-11-03 09:00:00","2014-11-08 18:00:00"
111,"Mostra 11ª edição do Prêmio Pierre Verger","2017-08-07 16:00:00","2017-08-11 21:00:00"
110,"As peregrinações dos Wixárica","2017-08-24 14:00:00","2017-08-25 18:00:00"
