antigo,novo
-----------,NA
-------------------------,NA
---------------------------,NA
"""livre Docente""",Livre-docência
Cadeira,NA
Cátedra,NA
d,NA
DLM,NA
DOURADO,Doutorado
DOUTIRADO,Doutorado
Doutoado,Doutorado
Doutor,Doutorado
doutor,Doutorado
doutora,Doutorado
Doutoraado,Doutorado
Doutorada,Doutorado
Doutorado,Doutorado
DOUTORADO,Doutorado
doutorado,Doutorado
DOUTORADo,Doutorado
Doutoradoq,Doutorado
doutoramento,Doutorado
Doutrorado,Doutorado
DOYTORADO,Doutorado
DUTORADO,Doutorado
e de seus antecedentes,NA
Educação,NA
"FLORENZANO, Maria",NA
História,NA
Livre -docencia,Livre-docência
Livre Docencia,Livre-docência
LIVRE DOCENCIA,Livre-docência
Livre Docência,Livre-docência
Livre docência,Livre-docência
LIVRE DOCENTE,Livre-docência
Livre--docência,Livre-docência
Livre-Docênacia,Livre-docência
Livre-Docencia,Livre-docência
Livre-Docência,Livre-docência
livre-docência,Livre-docência
Livre-docência,Livre-docência
Livre-Docente,Livre-docência
m,NA
M estrado,Mestrado
Mestardo,Mestrado
MESTARDO,Mestrado
Mestrada,Mestrado
Mestrado,Mestrado
MESTRADO,Mestrado
mestrado,Mestrado
MESTRADo,Mestrado
MESTRADOMESTRADO,Mestrado
MestradoMestrado,Mestrado
MESTRARDO,Mestrado
MESTRDO,Mestrado
Mestre,Mestrado
METRADO,Mestrado
Metrado,Mestrado
MSETRADO,Mestrado
MSTRADO,Mestrado
Relatorio final,NA
Schmidt,NA
Titular,NA
