"","especificação","nreferencia","titulo"
"1","Arte Assíria no Museu do Louvre I (Paris)","447.5",""
"2","Arte  Assíria no Museu do Louvre II (Paris)","456.19","Arte Assíria no Museu do Louvre II (Paris)"
"3","Arte da Caldeia no Museu do Louvre (Paris)","446.9","Arte da Caldeia no Museu do Louvre (Paris)"
"4","Cristianismo: 1. A Vida de Cristo","1384.7","Cristianismo: 1. A Vida de Cristo"
"5","Egito: Artes","1352.6","Egito: Artes"
"11","Egito: Arte egípcia. Arquitetura. Arte Faraônica: 1.Túmulos, Pirâmides, Mastabas, Hipogeus","198.3","Egito: Arte egípcia. Arquitetura. Arte Faraônica: 1.Túmulos, Pirâmides, Mastabas, Hipogeus"
"12","Egito: Arte egípicia. A pintura e as artes industriais","200.4","Egito: Arte egípicia. A pintura e as artes industriais"
"13","Egito: Arte, Escultura e Baixo Relevo","199.15","Egito: Arte, Escultura e Baixo Relevo"
"14","Egito: o país, os homens e a sociedade","1350.2","Egito: o país, os homens e a sociedade"
"15","História da habitação e dos monumentos civis, religiosos, militares e fúnebres. Arquitetura Proto-Histórica: o Neolítico e a Idade do Bronze (IV milênio a 850 a.C.)","1273.1","História da habitação e dos monumentos civis, religiosos, militares e fúnebres. Arquitetura Proto-Histórica: o Neolítico e a Idade do Bronze (IV milênio a 850 a.C.)"
"16","História da habitação e dos momumentos civis, religiosos, militares e fúnebres. Arquitetura funerária e religiosa. 1. Monumentos Megalíticos","1274.11","História da habitação e dos momumentos civis, religiosos, militares e fúnebres. Arquitetura funerária e religiosa. 1. Monumentos Megalíticos"
"17","História da habitação e dos monumentos civis, religiosos, militares e fúnebres. A Arquitetura dos povos do mar (Cananeus, Hititas, Hebreus, Fenícios, Cartagineses). 1. A arquitetura cananeia (Palestina e Síria do Sul, XXV-XIII a. C.)","1278.10","História da habitação e dos monumentos civis, religiosos, militares e fúnebres. A Arquitetura dos povos do mar (Cananeus, Hititas, Hebreus, Fenícios, Cartagineses). 1. A arquitetura cananeia (Palestina e Síria do Sul, XXV-XIII a. C.)"
"18","História da habitação e dos monumentos civis, religiosos, militares e fúnebres. Arquitetura caldeu-assiriana. 1. Arquitetura sumeriana.","1277.18","História da habitação e dos monumentos civis, religiosos, militares e fúnebres. Arquitetura caldeu-assiriana. 1. Arquitetura sumeriana."
"19","História da habitação e dos monumentos civis, religiosos, militares e fúnebres. Arquitetura egípcia (Época Faraônica)","1275.16","História da habitação e dos monumentos civis, religiosos, militares e fúnebres. Arquitetura egípcia (Época Faraônica)"
"20","Egito: Religião, Arquitetura Funerária, Arquitetura Religiosa","1351.8","Egito: Religião, Arquitetura Funerária, Arquitetura Religiosa"
"21","Israel: Fenícia","1354.17","Israel: Fenícia"
"22","Mesopotâmia","1353.12","Mesopotâmia"
"23","Pérsia","1355.13","Pérsia"
"49","Arquitetura Persa (561 - 330 a. C.)","1279.14","Arquitetura Persa (561 - 330 a. C.)"
