"nid","path"
"3","/departamento"
"5","/graduacao"
"6","/posgraduacao"
"7","/licenciatura"
"8","/ic"
"9","/pesquisa/posdoc"
"10","/pesquisa"
"14","/docentes"
"15","/posgraduacao/areas"
"16","/posgraduacao/regimentos"
"17","/posgraduacao/secretaria"
"18","/posgraduacao/relatorio"
"23","/departamento/historico"
"24","/publicacoes"
"25","/graduacao/projetoacademico"
"26","/departamento/ri"
"32","/posgraduacao/calendario"
"33","/departamento/memoria"
"34","/departamento/manifestos"
"35","/graduacao/curriculo"
"36","/graduacao/calendario/2015"
"48","/infograd"
"66","/graduacao/calendario"
"91","/graduacao/2016-1"
"93","/posgraduacao/matricula"
"94","/posgraduacao/reingresso"
"95","/posgraduacao/bilhete"
"96","/posgraduacao/prorrogacao"
"97","/posgraduacao/trancamento"
"98","/posgraduacao/licenca"
"99","/posgraduacao/qualificacao"
"100","/posgraduacao/bolsas"
"102","/posgraduacao/normas"
"110","/docentes/bentoprado"
"111","/docentes/gildarocha"
"112","/docentes/giannotti"
"113","/docentes/porchat"
"114","/docentes/ruyfausto"
"115","/docentes/loparic"
"116","/docentes/leon"
"117","/docentes/luizhenrique"
"118","/docentes/chaui"
"119","/docentes/cacciola"
"120","/docentes/olgaria"
"121","/docentes/pauloarantes"
"122","/docentes/janine"
"123","/docentes/scarlett"
"124","/docentes/knoll"
"125","/docentes/carlosalberto"
"126","/docentes/luizfernando"
"141","/docentes/mariagracas"
"142","/docentes/miltonmeira"
"143","/docentes/mariconda"
"144","/docentes/terra"
"146","/docentes/albertobarros"
"147","/docentes/homero"
"148","/docentes/estevao"
"149","/docentes/joaovergilio"
"150","/docentes/mammi"
"151","/docentes/luiscesar"
"152","/docentes/zingano"
"153","/docentes/werle"
"154","/docentes/mramos"
"155","/docentes/moacyr"
"156","/docentes/pessoa"
"157","/docentes/bolzani"
"158","/docentes/safatle"
"159","/docentes/alexmoura"
"160","/docentes/caetano"
"161","/docentes/carloseduardo"
"162","/docentes/edelcio"
"163","/docentes/edu"
"164","/docentes/evan"
"165","/docentes/repa"
"166","/docentes/suzuki"
"167","/docentes/sacrini"
"168","/docentes/mariomiranda"
"169","/docentes/mkeinert"
"170","/docentes/tolle"
"171","/docentes/fabbrini"
"172","/docentes/bacellar"
"173","/docentes/silvana"
"174","/docentes/sergio"
"175","/docentes/tessa"
"176","/docentes/valteralnis"
"177","/docentes/franklin"
"178","/docentes/joaopaulo"
"179","/docentes/lygia"
"180","/docentes/mariasylvia"
"181","/docentes/newton"
"182","/docentes/otilia"
"183","/docentes/rolf"
"185","/docentes/rubenstorres"
"186","/posgraduacao/processoseletivo"
"196","/posgraduacao/resultados"
"213","/posgraduacao/bolsasanteriores"
"220","/posdoc/apoio"
"226","/posgraduacao/apoio"
"227","/posgraduacao/agendamento"
"237","/videos"
"264","/editais"
"265","/posgraduacao/anteriores"
"269","/licenciatura/pontoaacc"
"270","/licenciatura/comunicados"
"271","/licenciatura/calendario"
"273","/licenciatura/fichasaacc"
"353","/publicacoes/discurso"
"364","/pesquisa/grupos"
"365","/pesquisa/acordos"
"377","/licenciatura/submissao"
"389","/posgraduacao/bolsas/deferimentos"
"661","/posgraduacao/auxilioeventos"
"696","/posgraduacao/alunoespecial"
"842","/posgraduacao/defesas/procedimentos"
"890","/posgraduacao/defesas/formatacao"
"939","/posgraduacao/processoseletivo/dinter/edital"
"940","/posgraduacao/processoseletivo/dinter"
"1030","/posgraduacao/auxilioevento"
"1062","/posgraduacao/bolsasnduiche/inscritos"
"1119","/colab"
"1163","/posgraduacao/bolsasanduiche/edital/2017-2018"
"1168","/posdoc"
"1230","/posdoc/processos"
"1262","/pesquisa/calendariogrupos"
"1283","/acessibilidade"
"1289","/cursos"
"1296","/colab/processos"
"1299","/publicacoes/anais"
"1312","/docentes/pedropaulo"
"1314","/ic/selecaoconjunta"
"1330","/posgraduacao/bolsas/selecao"
"1331","/print/pdse"
"1339","/publicacoes/gaia"
"1385","/docentes/favaretto"
"1386","/docentes/chiappin"
"1387","/docentes/mbarbosa"
"1504","/posgraduacao/bolsas/vigente"
"1594","/docentes/safatle/aulas_grad"
"1599","/docentes/safatle/aulas_posgrad"
"1759","/posgraduacao/alunoespecial/inscritos"
"1779","/posgraduacao/alunoespecial/deferimento"
"1785","/posgraduacao/bolsasanduiche/edital"
"1788","/posgraduacao/bolsas/classificacao"
"1790","/posgraduacao/eleicaodiscente/2019"
"1795","/posgraduacao/bolsas/atribuicao/1-2019"
"1813","/posgraduacao/bolsasanduiche/classificacao"
"1819","/print"
"1820","/print/pve"
"1821","/print/pame"
"1822","/print/jtee"
"1823","/print/pvejs"
"1825","/posgraduacao/bolsasanduiche/resultado"
"1858","/print/cap"
"1866","/http%3A//filosofia.fflch.usp.br/ic/selecaoconjunta/edital"
"1871","/print/pve/deferimento"
"1875","/print/jtee/applications"
"1882","/posdoc/pnpd"
"1886","/print/jtee/result"
"1887","/print/cap/inscritos"
"1889","/print/cap/resultado"
"1895","/licenciatura/ATPA"
"1966","/print/resultadopreliminar"
"1967","/print/comunicados"
"1984","/print/pve/resultado"
"2046","/posgraduacao/isencao"
"2053","/posgraduacao/prpg/edital13-2019"
"2129","/posdoc/supervisores"
"2235","/posgraduacao/bolsas/editais"
"2262","/posgraduacao/bolsas/inscritos"
"2272","/posgraduacao/bolsasanduiche/edital/2020"
"2301","/posgraduacao/bolsas/atribuicao/1-2020"
"2312","/print/pdse/inscricoes/03-2020"
"2319","/tutorial/classroom"
"2321","/print/pdse/classificacao/03-2020"
"2323","/print/pvejs/classificacao/05-2020"
"2327","/print/pdse/resultado/03-2020"
